time,Rhout,Tout,Windsp
43815.23611,93.50000001,6,3.2
43815.23958,93.80000002,6,3.2
43815.24306,93.99999997,6,3.2
43815.24653,94.19999999,6.099999993,3.2
43815.25,94.2,6.1,3.2
43815.25347,94.40000001,6.099999993,3.2
43815.25694,94.59999997,6.000000013,3.2
43815.26042,94.79999998,6.09999999,3.2
43815.26389,94.8,6.1,3.2
43815.26736,94.9,6.1,3.2
43815.27083,95.00000001,6.10000001,3.2
43815.27431,95.09999999,6.199999987,3.2
43815.27778,95.1,6.2,3.2
43815.28125,95.1,6.2,3.2
43815.28472,95.3,6.3,2.7
43815.28819,95.3,6.3,2.7
43815.29167,95.3,6.3,2.7
43815.29514,95.4,6.3,2.200000017
43815.29861,95.40000001,6.200000003,2.2
43815.30208,95.7,6.3,2.20000005
43815.30556,95.7,6.3,2.699999933
43815.30903,95.89999999,6.399999993,2.7
43815.3125,95.8,6.4,2.7
43815.31597,95.89999998,6.5,2.7
43815.31944,95.60000004,6.5,2.7
43815.32292,95.79999998,6.5,2.7
43815.32639,95.9,6.5,2.7
43815.32986,95.8,6.6,3.2
43815.33333,95.89999999,6.6,3.2
43815.33681,95.80000001,6.6,3.2
43815.34028,96.09999998,6.699999993,3.2
43815.34375,96.2,6.8,3.2
43815.34722,95.99999999,7.000000007,3.2
43815.35069,95.90000001,7.099999987,3.2
43815.35417,95.60000003,7.19999999,3.2
43815.35764,95.40000001,7.299999997,3.2
43815.36111,95.20000001,7.200000007,3.2
43815.36458,95.39999998,7.4,3.2
43815.36806,95.20000003,7.4,3.2
43815.37153,95.00000001,7.4,3.2
43815.375,95.1,7.5,3.2
43815.37847,94.90000001,7.6,3.2
43815.38194,94.99999999,7.6,3.2
43815.38542,94.60000004,7.69999999,3.2
43815.38889,94.5,7.799999997,3.2
43815.39236,94.29999999,7.800000003,3.20000001
43815.39583,94.09999997,7.90000001,3.5
43815.39931,93.80000004,7.999999987,3.5
43815.40278,93.8,8.099999993,3.5
43815.40625,93.3,8,4
43815.40972,93.1,8.1,4
43815.41319,93.1,8.1,4
43815.41667,92.90000002,8.1,3.50000005
43815.42014,92.9,8.199999997,3.5
43815.42361,93,8.200000003,3.5
43815.42708,92.89999999,8.30000001,3.50000002
43815.43056,92.80000001,8.399999987,3.699999973
43815.43403,92.60000001,8.4,4.59999994
43815.4375,92.3,8.4,4.6
43815.44097,92.09999999,8.4,4.600000007
43815.44444,92.00000001,8.4,4.699999987
43815.44792,92.19999998,8.49999999,4.7
43815.45139,92.00000001,8.5,4.7
43815.45486,91.8,8.500000003,4.699999983
43815.45833,91.7,8.6,4.2
43815.46181,91.7,8.6,4.2
43815.46528,91.7,8.6,4.2
43815.46875,91.5,8.7,4.2
43815.47222,91.40000001,8.600000007,4.2
43815.47569,91.49999999,8.699999987,4.2
43815.47917,91.30000002,8.7,4.2
43815.48264,91.3,8.799999997,4.2
43815.48611,91.19999999,8.799999997,4.2
43815.48958,90.90000001,8.70000001,4.2
43815.49306,90.99999999,8.799999987,4.2
43815.49653,91,8.899999993,4.2
43815.5,91,8.9,4.2
43815.50347,90.70000002,8.799999993,4.2
43815.50694,90.99999996,8.700000013,4.2
43815.51042,90.80000002,8.79999999,4.2
43815.51389,91.19999999,8.700000003,4.2
43815.51736,91.00000001,8.8,4.199999983
43815.52083,91.19999998,8.8,3.7
43815.52431,91.00000003,8.8,3.7
43815.52778,91,8.8,3.7
43815.53125,90.8,8.8,3.7
43815.53472,91.09999999,8.8,3.7
43815.53819,90.90000003,8.8,3.7
43815.54167,90.99999999,8.89999999,3.7
43815.54514,90.80000001,8.800000003,3.7
43815.54861,90.60000001,8.8,3.7
